Years,Month,Quarters,Company,Revenue,GP,Orders,Customers,Qty
2023,ม.ค.,Qtr1,THSITH,4767271.32,980871.37,1347,1347,12579
2023,ม.ค.,Qtr1,TPS,2008545.18,262957.76,447,447,3292
2023,ก.พ.,Qtr1,THSITH,6590579.52,1321520.92,1611,1611,12081
2023,ก.พ.,Qtr1,TPS,2677293.26,357322.74,516,516,3824
2023,มี.ค.,Qtr1,THSITH,7179378.15,1502083.55,1806,1806,13571
2023,มี.ค.,Qtr1,TPS,3610908.34,492384.67,642,642,5519
2023,เม.ย.,Qtr2,THSITH,5615699.72,1235312.54,1258,1258,10798
2023,เม.ย.,Qtr2,TPS,2518321.34,375820.24,446,446,3359
2023,พ.ค.,Qtr2,THSITH,6861623.41,1352309.42,1677,1677,15339
2023,พ.ค.,Qtr2,TPS,4653325.24,803102.55,593,593,5289
2023,มิ.ย.,Qtr2,THSITH,7223748.34,1487438.25,1870,1870,11757
2023,มิ.ย.,Qtr2,TPS,3313098.64,553873.73,709,709,4791
2023,ก.ค.,Qtr3,THSITH,6980916.05,1489144.51,1748,1748,17906
2023,ก.ค.,Qtr3,TPS,3511431.4,980289.15,649,649,4543
2023,ส.ค.,Qtr3,THSITH,5916681.66,1091890.9,1674,1674,11914
2023,ส.ค.,Qtr3,TPS,2814805,425783.89,555,555,4476
2023,ก.ย.,Qtr3,THSITH,6827171.99,1184304.94,1806,1806,12093
2023,ก.ย.,Qtr3,TPS,2540362.2,352722.87,547,547,4071
2023,ต.ค.,Qtr4,THSITH,6971601.8,1225116.69,1661,1661,9905
2023,ต.ค.,Qtr4,TPS,3063691,413055.33,593,593,3599
2023,พ.ย.,Qtr4,THSITH,6650228.08,1317108.21,1953,1953,14400
2023,พ.ย.,Qtr4,TPS,2719509,450362.82,591,591,4170
2023,ธ.ค.,Qtr4,THSITH,5934176.02,1185867.26,1511,1511,10373
2023,ธ.ค.,Qtr4,TPS,2286824,325033.63,518,518,7007
2024,ม.ค.,Qtr1,THSITH,5011407.48,940669.25,1594,1594,13077
2024,ม.ค.,Qtr1,TPS,2215507,399333.4,537,537,3132
2024,ก.พ.,Qtr1,THSITH,6147438.32,1057945.03,1717,1717,9132
2024,ก.พ.,Qtr1,TPS,1946208,297233.78,591,591,3401
2024,มี.ค.,Qtr1,THSITH,7356043.58,1480281.01,1793,1793,13537
2024,มี.ค.,Qtr1,TPS,2926938,454144.77,604,604,4097
2024,เม.ย.,Qtr2,THSITH,6391053.9,1218437.76,1568,1568,10813
2024,เม.ย.,Qtr2,TPS,2494968.26,375833.69,544,544,4251
2024,พ.ค.,Qtr2,THSITH,5060517.58,1012382.75,1795,1795,10709
2024,พ.ค.,Qtr2,TPS,3000402.66,655817.79,598,598,3235
2024,มิ.ย.,Qtr2,THSITH,6863963.1,1544905.67,1635,1635,12640
2024,มิ.ย.,Qtr2,TPS,2498890,398144.56,559,559,3796
2024,ก.ค.,Qtr3,THSITH,7217069.42,1772295.18,1765,1765,12309
2024,ก.ค.,Qtr3,TPS,3938722,718135.58,734,734,5002
2024,ส.ค.,Qtr3,THSITH,6719610.42,1469446.34,1790,1790,13358
2024,ส.ค.,Qtr3,TPS,2739145,486997.63,563,563,3667
2024,ก.ย.,Qtr3,THSITH,7023616.92,1459079.46,1581,1581,10309
2024,ก.ย.,Qtr3,TPS,4218625,1024197.76,735,735,5970
2024,ต.ค.,Qtr4,THSITH,6698533.68,1636190.64,1732,1732,11382
2024,ต.ค.,Qtr4,TPS,2705189,540145.91,707,707,4011
2024,พ.ย.,Qtr4,THSITH,5748350.47,1265673.86,1510,1510,11301
2024,พ.ย.,Qtr4,TPS,2949878,596263.31,753,753,5817
2024,ธ.ค.,Qtr4,THSITH,6263548.08,1546677.03,1430,1430,11049
2024,ธ.ค.,Qtr4,TPS,3402199,677193.21,579,579,4131
2025,ม.ค.,Qtr1,THSITH,5860106.4,1392001.62,1552,1552,13797
2025,ม.ค.,Qtr1,TPS,3518191,630501.67,595,595,4528
2025,ก.พ.,Qtr1,THSITH,6024983.86,1391631.25,1540,1540,11027
2025,ก.พ.,Qtr1,TPS,3170548,603808.62,736,736,6007
2025,มี.ค.,Qtr1,THSITH,7769208.6,1587907.51,1957,1957,16240
2025,มี.ค.,Qtr1,TPS,2732079,503468.96,632,632,4153
2025,เม.ย.,Qtr2,THSITH,6455479.7,1340993.13,1730,1730,12029
2025,เม.ย.,Qtr2,TPS,3114158,553433.31,588,588,4270
2025,พ.ค.,Qtr2,THSITH,6640788.69,1562851.46,1744,1744,11731
2025,พ.ค.,Qtr2,TPS,5141338,1148541.69,747,747,4547
2025,มิ.ย.,Qtr2,THSITH,6223249.12,1287649.18,1663,1663,10817
2025,มิ.ย.,Qtr2,TPS,3905267,736154.59,787,787,5831
2025,ก.ค.,Qtr3,THSITH,8097512.54,1882834.34,1709,1709,10690
2025,ก.ค.,Qtr3,TPS,3918650,720986.4,719,719,4303
2025,ส.ค.,Qtr3,THSITH,7924344.13,2190796.08,1615,1615,12112
2025,ส.ค.,Qtr3,TPS,3650375.7,749684.59,792,792,5208
2025,ก.ย.,Qtr3,THSITH,8010380.28,2049735.73,1575,1575,13814
2025,ก.ย.,Qtr3,TPS,4375287,899710.86,848,848,6324
