บริษัท ,รหัสสินค้า, TotalCost ,Qty,รวมจำนวนเงิน
THSITH,(H 208)-SKF/แกนADAPTER SLEEVES, 98.13 ,1 , 98.13 
THSITH,(H 211)-SKF/แกนADAPTER SLEEVES, 121.52 ,2 , 243.04 
THSITH,(H 222)-SKF/แกนADAPTER SLEEVES, 634.28 ,2 ," 1,268.56 "
THSITH,(H 2313)-SKF/แกนADAPTER SLEEVES, 385.95 ,2 , 771.90 
THSITH,(H 2316)-SKF/แกนADAPTER SLEEVES, 772.28 ,4 ," 3,089.12 "
THSITH,(H 307)-SKF/แกนADAPTER SLEEVES, 111.76 ,2 , 223.52 
THSITH,(H 312)-SKF/แกนADAPTER SLEEVES, 160.42 ,1 , 160.42 
THSITH,(H 3128)-SKF/แกนADAPTER SLEEVES," 1,797.33 ",1 ," 1,797.33 "
THSITH,(HE 309)-SKF/แกนADAPTER SLEEVES, 228.12 ,2 , 456.24 
THSITH,05062-TIMKEN/BAERINGS, 647.64 ,2 ," 1,295.28 "
THSITH,06B-2-FENNER/ROLLER CHAINS(BS)," 1,186.25 ",7 ," 8,303.75 "
THSITH,06B-3-FENNER/ROLLER CHAIN," 1,500.00 ",5 ," 7,500.00 "
THSITH,08B-2 C/L-FENNER/ข้อต่อโซ่เต็มข้อ/สองชั้น(BS), 30.45 ,16 , 487.20 
THSITH,08B-2-FENNER/ROLLER CHAINS(BS)," 1,212.75 ",2 ," 2,425.50 "
THSITH,"1""X1.1/4""X1/8"" HM14R-CR/9815 OIL SEAL", 35.00 ,1 , 35.00 
THSITH,"1""X2.1/4""X1/4""-CR/10169 OIL SEAL CRW1 R", 78.75 ,10 , 787.50 
THSITH,"1.1/16""X1.5/8""X1/4""-CR/10598 OIL SEAL CRW1 R", 53.10 ,18 , 955.80 
THSITH,"1.1/16""X1.7/8""X1/4""-CR/10700 OIL SEALS CRW1 R", 39.00 ,5 , 195.00 
THSITH,"1.1/2""X1.7/8""X1/4""-CR/14810 OIL SEAL HM 14 R", 32.85 ,181 ," 5,945.85 "
THSITH,"1.1/2""X2""X3/16""-CR/14840 OIL SEAL HM14 R", 38.25 ,8 , 306.00 
THSITH,"1.1/2""X2.1/4""X5/16""-CR/14939 OIL SEAL CRWA1 R", 38.25 ,6 , 229.50 
THSITH,"1.1/2""X2.1/8""X5/16""-CR/14875 OIL SEAL CRW1 R", 67.00 ,27 ," 1,809.00 "
THSITH,"1.1/4""X2.1/4""X1/4""-CR/12577 OIL SEAL CRW1 R", 76.00 ,2 , 152.00 
THSITH,"1.1/4""X2.3/8""X5/16""CRW1R-CR/12614 OIL SEAL", 111.60 ,18 ," 2,008.80 "
THSITH,"1.1/4""X2.717X15/32""-CR/12660 OIL SEAL CRSH1 R", 143.10 ,10 ," 1,431.00 "
THSITH,"1.1/8""X2""X1/4""-CR/11340 CRW1 R OIL SEAL", 64.60 ,1 , 64.60 
THSITH,"1.1/8X1.5/8X1/4""-AMD/OIL SEAL", 27.75 ,7 , 194.25 
THSITH,1.125X1.874X0.250-SKF/11224 CRW1 R OIL SEAL, 86.80 ,5 , 434.00 
THSITH,"1.15/16""X2.7/8""X5/16""-CR/19300 OIL SEAL CRW1 R", 82.35 ,20 ," 1,647.00 "
THSITH,"1.250""X1.750""X0.250""-SKF/CR 12364 CRW1 R", 65.00 ,9 , 585.00 
THSITH,"1.3/16""X1.53/64""X3/8""-NATIONA/473425 OIL SEAL", 123.50 ,1 , 123.50 
THSITH,"1.3/16""X2.1/8""X1/4""-NATIONAL/473205 OIL SEAL", 85.50 ,1 , 85.50 
THSITH,"1.3/8""X2.1/2""X5/16""-CR/13867 CRW1 VITON OIL SEAL", 273.00 ,9 ," 2,457.00 "
THSITH,"1.3/8""X2.1/8""X1/4""-CR/13612 OIL SEAL HM 21 R", 99.00 ,4 , 396.00 
THSITH,"1.3/8""X2.3/8""X5/16""-NATIONAL/473215 OIL SEAL", 80.75 ,1 , 80.75 
THSITH,"1.3/8""X2.7/16""X5/16""-CR/13810 OIL SEAL CRW1R", 63.00 ,10 , 630.00 
THSITH,"1.3/8""X2.9/16""X3/8"" CRWA1 V-C/13878 OIL SEAL VITON", 100.00 ,3 , 300.00 
THSITH,"1.5/8""X2.1/4""X3/8""-CR/16049 OIL SEAL CRW1 P", 91.35 ,10 , 913.50 
THSITH,"1.5/8""X2.1/4""X5/16""-CR/16062 OIL SEAL CRWA1 R", 44.10 ,2 , 88.20 
THSITH,"1.5/8""X2.1/4""X5/16""-NATIONAL/473230 OIL SEAL", 120.00 ,2 , 240.00 
THSITH,"1.7/8""X2.1/2""X1/4""-CR/18558 HM 21 R OIL SEAL", 55.80 ,2 , 111.60 
THSITH,"1.7/8""X2.5/8""X5/16""-SKF/18581 CR OIL SEAL", 193.00 ,2 , 386.00 
THSITH,"1.7/8""X3""X5/16""-CR/18785 OIL SEAL CRW1 R", 130.50 ,2 , 261.00 
THSITH,"1.7/8""X3""X5/16""-SKF/18817 CRW1R OIL SEAL (450298)", 144.00 ,3 , 432.00 
THSITH,"1/2""X27/32""X1/4""-CR/4923 OIL SEALS HM14 R", 47.41 ,15 , 711.15 
THSITH,"1/2""X7/8""X1/8""HM14R-CR/4925 OIL SEAL", 23.85 ,18 , 429.30 
THSITH,1/8X1/4X7/64-ZZ-SPC/BEARINGS, 20.00 ,8 , 160.00 
THSITH,100-3-FENNER/ROLLER CHAIN," 14,490.00 ",1 ," 14,490.00 "
THSITH,100X120X10 HMSA10 RG-SKF/562785 OIL SEAL, 54.34 ,20 ," 1,086.80 "
THSITH,100X120X10 HMSA10 V/562787 OIL SEAL VITON, 483.50 ,3 ," 1,450.50 "
THSITH,100X120X10 TC-HOF/OIL SEAL, 73.00 ,8 , 584.00 
THSITH,100X120X12 HMSA10 RG-SKF/562669 OIL SEAL, 54.34 ,20 ," 1,086.80 "
THSITH,100X125X12 HMSA10 RG-SKF/562801 OIL SEAL, 143.10 ,1 , 143.10 
THSITH,100X130X12 HMSA10 RG-SKF/562629 OIL SEAL, 72.87 ,10 , 728.70 
THSITH,100X130X12 TC-NAK/OIL SEAL, 90.00 ,1 , 90.00 
THSITH,100X135X15 TC-NOK/OIL SEAL, 99.29 ,1 , 99.29 
THSITH,100X150X13 TC-SOG/OIL SEAL, 108.00 ,7 , 756.00 
THSITH,1040 ZZ-NMB/BEARINGS 4X10X4 MM., 15.00 ,1 , 15.00 
THSITH,105X130X12 HMSA10 RG-SKF/564169 OIL SEAL, 72.87 ,19 ," 1,384.53 "
THSITH,105X130X12 HMSA10 V/564171 OIL SEAL VITON, 381.00 ,3 ," 1,143.00 "
THSITH,105X140X12 HMSA10 RG-SKF/563392 OIL SEAL, 72.87 ,10 , 728.70 
THSITH,105X160X12 TC-SOG/OIL SEAL, 109.00 ,3 , 327.00 
THSITH,1077600-1-SKF/Extension pipe with nozzle/สายแข็ง, 641.37 ,4 ," 2,565.48 "
THSITH,1077600-SKF/GREASE GUN/DIN 1283+สายแข็ง 175 มม.," 1,083.80 ",14 ," 15,173.20 "
THSITH,1077600/SET-SKF/ชุดกระบอกอัดจารบี," 4,735.00 ",4 ," 18,940.00 "
THSITH,1077601-SKF/Flexible Nozzle for Grease gun(สายอ่อน), 691.18 ,2 ," 1,382.36 "
THSITH,10B-2-FENNER/ROLLER CHAINS(BS)," 1,470.00 ",4 ," 5,880.00 "
THSITH,10X18X8 TC-SOG/OIL SEAL, 10.00 ,4 , 40.00 
THSITH,10X19X7 TC-NOK/OIL SEAL, 7.48 ,1 , 7.48 
THSITH,10X19X7 TC-SOG/OIL SEAL, 11.00 ,8 , 88.00 
THSITH,10X22X4 TC-SOG/OIL SEAL, 10.00 ,10 , 100.00 
THSITH,10X22X7 HMSA10 RG-SKF/562661 OIL SEAL, 20.50 ,3 , 61.50 
THSITH,10X24X7 TC-SOG/OIL SEAL, 11.00 ,10 , 110.00 
THSITH,10X25X7 HMSA10 RG-SKF/563082 OIL SEAL, 14.35 ,14 , 200.90 
THSITH,10X30X10 TC-SOG/OIL SEAL, 10.00 ,8 , 80.00 
THSITH,10X30X7 TC-AMD/OIL SEAL, 15.00 ,1 , 15.00 
THSITH,11.11X22.22X6.4 TC-NOK/OIL SEAL, 8.30 ,18 , 149.40 
THSITH,"11/16""X1.5/8""X1/4""-CR/6990 OIL SEAL CRWA1", 77.85 ,20 ," 1,557.00 "
THSITH,110X130X10 TC-SOG/OIL SEAL, 87.00 ,2 , 174.00 
THSITH,110X135X12 TC-SOG/OIL SEAL, 80.00 ,4 , 320.00 
THSITH,110X140X12 HMSA10 RG-SKF/563086 OIL SEAL, 73.73 ,11 , 811.03 
THSITH,110X145X13 TC-AMD/OIL SEAL, 142.50 ,2 , 285.00 
THSITH,110X150X12 HMSA10 RG-SKF/563914 OIL SEAL, 137.40 ,10 ," 1,374.00 "
THSITH,11208 ETN9-SKF/BEARINGS, 644.54 ,3 ," 1,933.62 "
THSITH,114X140X13 TC-SOG/OIL SEAL NBR, 85.00 ,8 , 680.00 
THSITH,115X140X12 TC-SOG/OIL SEAL, 90.00 ,9 , 810.00 
THSITH,115X150X12 HMSA10RG-SKF/OIL SEAL, 131.25 ,2 , 262.50 
THSITH,115X150X15 TC-SOG/OIL SEAL, 98.00 ,3 , 294.00 
THSITH,120 XL 037-OPTIBELT/TIMING BELTS หน้ากว้าง 9.53 มิล, 49.21 ,5 , 246.05 
THSITH,120-1 C-FENNER/ROLLER CHAIN COTTER PIN," 4,073.62 ",5 ," 20,368.10 "
THSITH,120-1 C/L-FENNER/ข้อต่อโซ่เต็มข้อ/ชั้นเดียว(ANSI), 162.24 ,7 ," 1,135.68 "
THSITH,120-1 O/L-FENNER/ข้อต่อโซ่ครึ่งข้อ/ชั้นเดียว (ANSI), 322.94 ,15 ," 4,844.10 "
THSITH,1200 8M-A 050-OPTIBELT/TIMING BELTS," 1,320.00 ",1 ," 1,320.00 "
THSITH,1201 ETN9-SKF/BEARINGS, 361.00 ,2 , 722.00 
THSITH,1204 EKTN9-SKF/BEARINGS, 154.00 ,4 , 616.00 
THSITH,1204 EKTN9/C3-SKF/BEARINGS, 149.56 ,5 , 747.80 
THSITH,1205 EKTN9-SKF/BEARINGS, 331.68 ,4 ," 1,326.72 "
THSITH,1206 EKTN9/C3-SKF/BEARINGS, 398.89 ,8 ," 3,191.12 "
THSITH,1207 ETN9-SKF/BEARINGS, 400.64 ,3 ," 1,201.92 "
THSITH,1208 EKTN9/C3-SKF/BEARINGS, 479.00 ,1 , 479.00 
THSITH,1208 ETN9/C3-SKF/BEARINGS, 526.83 ,3 ," 1,580.49 "
THSITH,1209 EKTN9-SKF/BEARINGS, 500.48 ,2 ," 1,000.96 "
THSITH,1209 EKTN9/C3-SKF/BEARINGS, 547.40 ,2 ," 1,094.80 "
THSITH,120X140X12 HMSA10 RG-SKF/562849 OIL SEAL, 72.87 ,10 , 728.70 
THSITH,120X150X12 HMSA10 RG-SKF/562645 OIL SEAL, 102.51 ,10 ," 1,025.10 "
THSITH,120X150X12 HMSA10 V/562647 OIL SEAL VITON, 459.42 ,6 ," 2,756.52 "
