Company,Product,Sum of Amount,Sum of Gross profit,Sum of Quantity,Sum of GP_pct
THSITH,NJ 212 ECP-SKF / BEARINGS,2705796,494584.22,1536,18.3%
THSITH,23156 CC/W33-SKF / BEARINGS,2051440,167081.82,24,8.1%
THSITH,32214 J2/Q-SKF / BEARINGS,1580871,168609.96,1106,10.7%
THSITH,W 6205-2RS1-SKF / ลูกปืนสแตนเลส,1526397,186964.11,1871,12.2%
THSITH,CMDT 391-K-SL-SKF / QUICK COLLECT SENSOR,1440600,330800,16,23.0%
THSITH,PHG 8V1500-SKF / NARROW-V BELTS,1394826,400776.52,862,28.7%
THSITH,"YAR 205-100-2RF/HV-SKF / Stainless Bearings/1""",1249297,326492.55,563,26.1%
THSITH,W 6206-2RS1-SKF / ลูกปืนสแตนเลส,1217987.34,249600.43,755,20.5%
THSITH,TKSA 51-SKF / ชุดอุปกรณ์ตั้งศูนย์เพลาเลเซอร์,1206530,226430,6,18.8%
THSITH,6305-2Z/C3-SKF / BEARINGS,1181732.1,167940.18,7323,14.2%
THSITH,6202-2RSH-SKF / BEARINGS,1148985.64,212243.19,14169,18.5%
THSITH,6319/C3-SKF / BEARINGS,1039993,106000.83,254,10.2%
THSITH,B/17 POWER TWIST ROLLER DRIVE-FENNER / 0,1007000,195200,22,19.4%
THSITH,"FC-B22431H-LINK-BELT / BEARINGS 1.15/16""",970142,250682,48,25.8%
THSITH,TKBA 40-SKF / BELT ALIGNMENT TOOLS,953668,162488.8,16,17.0%
THSITH,PL 100X145-KTR / CLAMPEX LOCK,922690,199490,56,21.6%
THSITH,"LGHP 2/18-SKF / จารบีโพลียูเรีย สมรรถนะสูง,18 Kg.",909109.04,149407.7,57,16.4%
THSITH,TIH 030M/230V-SKF / Portable Induction Hearter,895060,188244.28,10,21.0%
THSITH,TKSA 71-SKF / เครื่องตั้งศูนย์เพลาด้วยเลเซอร์,887500,182800,3,20.6%
THSITH,22217 EK/C3-SKF / BEARINGS,853250,184102.93,222,21.6%
